"Fictional_story","Abstract_shapes","Sensory_sensations","Life_experiences","Media","Music","Future_plans","Building","Everyday","Movement_mem","Mem_description","Mem_music_evoked","Mem_spontaneity","Mem_individuality","Movement_story","Story_description","Story_music_evoked","Story_spontaneity","Story_individuality","Other_info","Feedback","join_key","Age","Gender","Music_listening","Practice","Location"
"Most of the time","Most of the time","A small amount of the time","Most of the time","Most of the time","Most of the time","Not at all","Most of the time","Not at all","Br4","It’s wide ranging and pushing emotion to a new level","Moderately","Moderately","Entirely","Br2","The waves of the movements came to mind. There was the force of nature and people. They met they clashed","Entirely","Entirely","Mostly",NA,"Very good design of the questions. The second part may have instrumental effects","0220jzxd","63","Male","Very frequently",0,"I"
"A moderate amount of the time","Not at all","Not at all","A moderate amount of the time","Not at all","A moderate amount of the time","A moderate amount of the time","Not at all","A small amount of the time","Br1","I thought about all the times in my life I heard this work. At least 3 different settings.","Entirely","Slightly","Entirely","Br4","I did not imagine a fictional scene in any movement","Not at all","Not at all","Not at all","None",NA,"01/11/2238","60","Male","Frequently",46,"K"
"Not at all","Not at all","Not at all","A small amount of the time","Not at all","Most of the time","A small amount of the time","A small amount of the time","A moderate amount of the time","Br2",NA,"Slightly",NA,"Slightly","Br1",NA,"Moderately","Moderately","Slightly",NA,NA,"01/07/7330","19","Female","Moderately frequently",7,"K"
"Not at all","Not at all","Not at all","Not at all","A small amount of the time","All of the time","Not at all","A small amount of the time","Not at all","Br2","Thinking about film music.","Mostly","Entirely","Entirely","Br2","Watching past films.","Mostly","Mostly","Entirely",NA,"If I imagined nothing I felt possibly that some questions did not apply.","Jan0602","71","Male","Moderately frequently",60,"J"
"A moderate amount of the time","A moderate amount of the time","A moderate amount of the time","Most of the time","Not at all","A moderate amount of the time","Not at all","A small amount of the time","A moderate amount of the time","Br3","Life is full of ups and downs but there is beauty in each moment to be had.","Mostly","Moderately","Mostly","Br3","Onward regardless","Moderately","Mostly","Mostly",NA,NA,"01/12/8339","67","Female","Frequently",2,"A"
"A small amount of the time","Not at all","Not at all","A moderate amount of the time","Not at all","Most of the time","Not at all","Not at all","A moderate amount of the time","Br2","Playing in the woods with my childhood friend and building forts together","Entirely","Slightly","Mostly","Br3","Dancing in a ballroom","Entirely","Mostly","Mostly",NA,"Very happy to participate in this survey and to assist in your research. All the best!
Would welcome hearing of your findings/results if that is possible.","01/08/2261","62","Female","Moderately frequently",8,"J"
"A small amount of the time","A small amount of the time","A small amount of the time","A small amount of the time","A small amount of the time","A small amount of the time","A small amount of the time","A small amount of the time","A small amount of the time","Br3","It is to good and I am speechless","Moderately","Moderately","Moderately","Br3","It is a long story that I can’t hardly describe it","Moderately","Moderately",NA,"It is so fascinating that I am speechless.","So good","01/02/4546","69","Male","Somewhat rarely",0,"J"
"Most of the time","Not at all","Not at all","A small amount of the time","Not at all","A moderate amount of the time","Not at all","Not at all","Not at all","Br2","A grand ballroom with Victorian couples","Mostly","Slightly","Entirely","Br3","Mountain storm","Mostly","Entirely","Mostly",NA,NA,"01/02/2855","68","Male","Moderately frequently",10,"D"
"Most of the time","Not at all","A moderate amount of the time","Not at all","Not at all","A small amount of the time","A small amount of the time","A moderate amount of the time","A small amount of the time","Br3","I didn’t have any memory","Not at all","Entirely","Not at all","Br3","I imagined Icelandic wild horses running free surrounded by waterfalls and green canyons.","Entirely","Entirely","Entirely",NA,NA,"01/04/6638","48","Female","Very frequently",5,"J"
"Not at all","A small amount of the time","Not at all","A small amount of the time","Not at all","A moderate amount of the time","A small amount of the time","Not at all","A moderate amount of the time","Br1","Prior hearing this piece of music","Entirely","Entirely","Not at all","Br4","People pushing forward","Mostly","Mostly","Slightly","My mind wanders more in the second half of concerts","No","Dec793","73","Male","Moderately frequently",0,"C"
"Most of the time",NA,NA,NA,NA,NA,NA,NA,NA,"Br3",NA,"Mostly","Slightly","Mostly","Br1",NA,"Mostly","Mostly","Mostly",NA,NA,"01/05/2226","63","Female","Very frequently",0,"I"
"Not at all","Not at all","Not at all","Most of the time","Not at all","Most of the time","A small amount of the time","Not at all","Not at all","Br3","There was some timing issues between the piano and quartet which reminded me of playing Brahms 2 piano music with my partner and the difficulty of nailing Brahms’ metrical and rhythmic clashes. I remember the practice room vividly","Mostly","Slightly","Entirely","Br1","I did not experience any fictional imaginings.","Not at all","Not at all","Not at all",NA,"The questions were pretty leading and did not really represent my experiences of listening to music or offer opportunities to relate that experience","01/08/5040","33","Male","Very frequently",22,"J"
"A small amount of the time","Not at all","Not at all","A moderate amount of the time","A small amount of the time","Most of the time","Most of the time","All of the time","A moderate amount of the time","Br3","Civic procession, city hall, town meeting","Mostly","Moderately","Mostly","Br3","Thomas Mann Buddenbrooks","Mostly","Mostly","Moderately",NA,"Too long","Mar0295","75","Male","Very frequently",6,"J"
"Not at all","Not at all","Not at all","Not at all","Not at all","A small amount of the time","Not at all","Not at all","Not at all","Br1","My principal memory was of hearing the piece before.","Entirely","Slightly","Not at all","Br4","I didn’t really visualize a scene. Generally, I don’t visualize things.","Not at all","Not at all","Not at all",NA,"My brain doesn’t really work in a way that allows me to answer the questions. I just appreciate the music for the beauty of the sounds.","Aug0983","73","Male","Moderately frequently",0,"E"
"A moderate amount of the time","A small amount of the time","Not at all","Not at all","Not at all","Most of the time","All of the time","Most of the time","A small amount of the time","Br1","I thought for a little bit about the dinner I just had. It was one of my first times eating at my new eating club, and I met many new people.","Not at all","Entirely","Slightly","Br3","During the march portions of the scherzo, I imagined a column of Napoleonic soldiers processing through the Triumphal Arch in Paris.","Entirely","Mostly","Mostly",NA,"None! Good luck with your research!","01/02/8120","18","Male","Very frequently",10,"G"
"A small amount of the time","Not at all","Not at all","Most of the time","A small amount of the time","All of the time","A moderate amount of the time","A moderate amount of the time","A moderate amount of the time","Br4","I thought about my first love from college, not a specific memory but him in various places: outside the cafe in the open air one night where people smoked and I introduced him to a friend. I imagined him as he were: tall, dark-haired, olive skin, handsome, beautiful smile, cocky.","Slightly","Not at all","Mostly","Br3","I imagined receiving a message to reconnect from the first love I reminisced about during the same movement. Specifically, he sends me a Facebook message and I reply with all the good will and sincerity that it is so nice to hear from him.","Moderately","Mostly","Mostly",NA,NA,"01/02/6061","28","Female","Very frequently",0,"G"
"A small amount of the time","Not at all","Not at all","A small amount of the time","Not at all","Most of the time","Not at all","A small amount of the time","Not at all","Br4","Emotions of longing angst building to almost a sobbbing and gasping before resolution","Mostly","Moderately","Moderately","Br1","Serenity","Mostly","Moderately","Moderately",NA,"The concert experience is different than listening at home","01/06/6416","2/3 of a century yesterday","Male","Very frequently",8,"J"
"Most of the time","A small amount of the time","A small amount of the time","A moderate amount of the time","Not at all","A small amount of the time","Not at all","Not at all","A small amount of the time","Br2","Somber, but at time intense, tumultuous","Mostly","Moderately","Mostly","Br2",NA,"Mostly","Mostly","Entirely",NA,"Fine with taking survey.","01/07/4849","64","Male","Very frequently",0,"C"
"A small amount of the time","A small amount of the time","Not at all","All of the time","All of the time","All of the time","All of the time","Most of the time","All of the time","Br1","I heard it from a long time ago. It seemed to appear in TV or commercial somewhere","Mostly","Slightly","Mostly","Br3","Very interesting graphic movements or the contemporary paintings I saw in the museums.","Mostly","Mostly","Mostly","Final movement is also very fun to watch the musicians’ expressions","Good!","Sep270","53","Male","Frequently",0,"B"
"Not at all","Not at all","Not at all","Not at all","Not at all","A moderate amount of the time","A small amount of the time","A small amount of the time","A small amount of the time","Br3","I didn’t actually have a vivid memory.","Not at all","Entirely","Not at all","Br2","Again, I was not focused on any specific thought or memory.","Not at all","Slightly","Slightly",NA,NA,"01/09/3603","53","Female","Moderately frequently",4,"G"
"Most of the time","Not at all","A small amount of the time","A small amount of the time","Not at all","A moderate amount of the time","Most of the time","Not at all","A small amount of the time","Br1","I’d rather not share","Slightly","Moderately","Mostly","Br4","I’d rather not share","Moderately","Moderately","Mostly",NA,NA,"01/05/4726","30","Female","Somewhat rarely",4,"J"
"Not at all","Most of the time","Most of the time","Most of the time","Not at all","All of the time","A small amount of the time","Not at all","Not at all","Br3","Memory of performing this movement","Entirely","Moderately","Mostly","Br4","False ending of 4th movement feels like the earth opening","Entirely","Moderately","Entirely",NA,NA,"may0213","35","Male","Very frequently",30,"H"
"A small amount of the time","Not at all","Not at all","A small amount of the time","Not at all","Most of the time","A moderate amount of the time","Not at all","A moderate amount of the time","Br4","It’s really more of a memory of the performance rather than evoking a different memory. The performance itself is the memory.","Entirely","Entirely","Not at all","Br1","More of being introduced to the story, of opening the door to the story that was going to be told.","Entirely","Entirely","Not at all","Will the results of the research be shared? (I can’t recall if that was covered in the overview)","Glad to participate","jan","69","Male","Moderately frequently",0,"J"
"A small amount of the time","A small amount of the time","Not at all","A small amount of the time","Not at all","A moderate amount of the time","A small amount of the time","A small amount of the time","Not at all","Br3","Movements from dances","Mostly","Moderately","Mostly","Br4","So different from Brahm's Hungarian dances","Mostly","Moderately","Mostly",NA,"It was nice to see how seriously people were  completing the survey.","01/11/6432","73","Female","Very frequently",30,"J"
